date,Ixom,Coogee Chemicals,Cleveland Bay Chemicals,Nalco Water,Omega Chemicals,isPartial
2015-03-01,0,36,0,0,0,False
2015-04-01,0,21,0,0,0,False
2015-05-01,0,0,0,0,0,False
2015-06-01,0,54,0,0,0,False
2015-07-01,0,16,0,16,0,False
2015-08-01,0,46,0,15,0,False
2015-09-01,0,63,0,0,0,False
2015-10-01,0,46,0,15,0,False
2015-11-01,0,16,0,0,0,False
2015-12-01,0,0,0,0,0,False
2016-01-01,0,16,0,0,0,False
2016-02-01,0,100,0,0,0,False
2016-03-01,30,15,0,0,0,False
2016-04-01,0,0,0,0,0,False
2016-05-01,16,16,0,0,0,False
2016-06-01,0,16,0,0,0,False
2016-07-01,0,17,0,0,0,False
2016-08-01,0,16,0,0,0,False
2016-09-01,16,33,0,0,0,False
2016-10-01,0,16,0,0,0,False
2016-11-01,0,16,0,16,0,False
2016-12-01,0,17,0,0,0,False
2017-01-01,0,16,0,0,0,False
2017-02-01,0,65,0,0,0,False
2017-03-01,14,0,0,0,0,False
2017-04-01,0,16,0,0,0,False
2017-05-01,0,0,0,0,0,False
2017-06-01,0,0,0,16,0,False
2017-07-01,15,0,0,0,0,False
2017-08-01,0,0,0,0,0,False
2017-09-01,0,16,0,0,0,False
2017-10-01,0,15,0,28,0,False
2017-11-01,15,30,0,15,0,False
2017-12-01,0,16,0,0,0,False
2018-01-01,0,29,0,0,0,False
2018-02-01,16,16,0,0,0,False
2018-03-01,0,43,0,0,0,False
2018-04-01,0,15,0,0,0,False
2018-05-01,27,28,0,14,0,False
2018-06-01,15,15,0,0,0,False
2018-07-01,0,0,0,0,0,False
2018-08-01,0,14,0,0,0,False
2018-09-01,16,30,0,0,0,False
2018-10-01,0,14,0,0,0,False
2018-11-01,0,29,0,0,0,False
2018-12-01,32,46,0,15,0,False
2019-01-01,0,73,0,0,0,False
2019-02-01,0,0,0,0,0,False
2019-03-01,14,14,0,0,0,False
2019-04-01,0,30,0,43,0,False
2019-05-01,0,28,0,14,0,False
2019-06-01,0,0,0,0,0,False
2019-07-01,0,0,0,0,0,False
2019-08-01,0,14,0,13,0,False
2019-09-01,28,27,0,0,0,False
2019-10-01,0,27,0,13,0,False
2019-11-01,14,14,0,0,0,False
2019-12-01,0,41,0,0,0,False
2020-01-01,13,52,0,13,0,False
2020-02-01,26,67,0,0,0,False
2020-03-01,0,12,0,0,0,False
2020-04-01,0,12,0,0,0,False
2020-05-01,0,46,0,0,0,False
2020-06-01,0,0,0,0,0,False
2020-07-01,0,26,0,0,0,False
2020-08-01,0,26,0,0,0,False
2020-09-01,0,41,0,13,0,False
2020-10-01,0,14,0,14,0,False
2020-11-01,0,0,0,0,0,False
2020-12-01,0,58,0,14,0,False
2021-01-01,0,14,0,0,0,False
2021-02-01,0,60,0,14,0,False
2021-03-01,13,27,0,0,0,False
2021-04-01,0,13,0,13,0,False
2021-05-01,25,26,0,0,0,False
2021-06-01,0,14,0,13,0,False
2021-07-01,13,26,0,0,0,False
2021-08-01,0,27,0,0,0,False
2021-09-01,14,30,0,14,0,False
2021-10-01,0,57,0,0,0,False
2021-11-01,0,29,0,0,0,False
2021-12-01,0,0,0,0,0,False
2022-01-01,0,41,0,13,0,False
2022-02-01,0,31,0,0,0,False
2022-03-01,0,52,0,0,0,False
